unified_est_id,est_name,address,classification
10820318.0,AMELIAS MARKET,"340 WESTMORELAND AVE N, Unit-102 None M6H 3A7",ambiguous
10840086.0,AMELIE'S CHOCOLATE & PATISSERIE,74 Crockford Blvd Unit-3 M1R 3C3,ambiguous
10850331.0,AMERICAN EXPRESS LOUNGE,105 CARL HALL RD None M3K 2C1,ambiguous
10813742.0,AMI NO,755 Dundas St W Unit-B M6J 1T9,ambiguous
10863913.0,AMICO EATERY,2013 Yonge St None M4S 1Z8,likely_restaurant
10804125.0,AMIRTHAM TAKE-OUT,1265 Morningside Ave Unit-106 M1B 3V9,ambiguous
10796276.0,AMMA'S KITCHEN,18 Four Seasons Pl Unit-100 M9B 6E7,likely_restaurant
10828610.0,AMMA'S KITCHEN,2286 Kingston Rd None M1N 1T9,likely_restaurant
10835959.0,AMMI'S,1760 Lawrence Ave E None M1R 2Y1,ambiguous
10807308.0,AMO'S,2014 QUEEN ST E None M4L 1J3,ambiguous
10860890.0,AMOR SHAWARMA,514 KING ST E None M5A 1M1,likely_restaurant
10808718.0,AMPERSAND BAKEHOUSE,1808 DANFORTH AVE None M4C 1H8,likely_restaurant
10820875.0,AN JI FOOD,285 Milliken Blvd Unit-22 M1V 3H4,ambiguous
10836817.0,ANA'S HOT SPOT,5928 Finch Ave E Unit-105 M1B 5P8,ambiguous
10863095.0,ANCESTOR PUBLIC SCHOOL STUDENT NUTRITION PROGRAM,44 ANCASTER RD None M3K 1S6,likely_not_restaurant
